text,labels
translate an equation into a computer spreadsheet.,1
debate the ethical implications of using predictive analytics in employment recruitment for candidate screening and selection.,4
reproduce the steps to configure snmp simple network management protocol on a network device?,0
draw the block diagram of op-amp and explain in detail.,0
describe the block diagram of programmable ic 8253.,0
propose and evaluate innovative solutions for reducing carbon emissions from construction activities.,2
imagine you are designing a high-performance suspension system for a racing car. discuss how you would apply kinematics and dynamics analysis techniques to optimize suspension geometry and vehicle handling characteristics for different track conditions.,2
write a short note on control system and electronics.,0
"evaluate the impact of different noise sources e.g., thermal noise, shot noise, quantization noise on the performance of communication systems.",3
illustrate with example the four 4 advantages of photography.,1
devise a system for optimizing spectrum allocation in wireless networks to maximize throughput and minimize interference using machine learning.,5
evaluate why a monopolist holds more undesirable characteristics in comparison to a perfect competitor. give evidence from the graph to support your answer.,4
analyze the causes of infant mortality during and after production.,3
describe five 5 key players in advertising.,0
"your company is designing an energy-efficient hvac heating, ventilation, and air conditioning system for a commercial building. compare the features and performance of different hvac technologies e.g., variable refrigerant flow, geothermal heat pumps, chilled beams in providing thermal comfort while minimizing energy consumption and environmental impact.",3
identify three 3 building related statutory laws in malaysia.,1
a point in a strained material is subjected to stress as shown in figure 7.,2
explain the method of reducing cutting forces in sheet metal work.,0
write a short note on motion specification method based on.,0
draw and explain block diagram of memory devices.,0
"analyze the problem, identifying its variables.",3
explain the factors affecting the concrete mix design.,0
describe functional programming.,2
what are the different types of errors and adjustments in single phase energy meter?,0
invent a blockchain-based solution for transparent and tamper-proof certification of academic credentials and professional qualifications.,5
can you break down the elements of a logical proof?,3
draw a neat labeled sketch of semicircular - arch and show:,2
what does it look like to witness a total solar eclipse? please describe.,0
use minimum 8 functions of deque stl.,3
explain briefly five 5 strategies for effective packaging design.,1
name five vital plant processes that herbicides target.,0
invent a method for repurposing construction and demolition waste into valuable construction materials to reduce landfill waste and conserve natural resources.,5
differentiate between lap and wave type of armature windings used in the d.,3
assess the reliability of a recommendation system in minimizing information bias and promoting diversity.,4
describe the seven 7 advantages of radio advertising.,0
what is risk projection?,0
formulate an algorithm for optimizing the shape and configuration of wind turbine blades to maximize energy extraction from wind resources.,5
identify the type of crisis based on time as a critical variable.,1
explain various process management system calls in linux with example.,0
derive the following expression with usual notations for loss of head in pipes due to sudden enlargement.,3
compare the two theories and contrast their key points.,1
"a telecommunications provider is evaluating the performance of wireless communication systems for rural connectivity. critically analyze the coverage, bandwidth, and reliability of wireless networks, including 4g lte and satellite broadband. propose network optimization techniques and rural broadband deployment strategies to bridge the digital divide and improve internet access in underserved areas.",4
what is trie tree?,0
"a five-year, rm1,000 par value bond with a 6 percent semi-annual coupon is trading at current yield of 4 percent. compute the duration of the bond.",2
with suitable diagram explain polarity test on transformer.,1
recall a memorable conversation you had recently.,0
evaluate the societal implications of genetic engineering.,4
paraphrase the scientific hypothesis.,1
"interpret the concept of antenna radiation patterns, discussing their characteristics and implications for signal coverage.",1
what associations come to mind when you think about happiness?,1
modify the parameters in the simulation to observe changes in the outcome.,2
how would you develop a new software application for project management?,5
"as an antenna design specialist, you are tasked with designing a compact and efficient antenna array for 5g small cell deployment in urban environments. create an antenna array configuration that minimizes interference, maximizes coverage, and supports beamforming techniques for adaptive beam steering and improved signal reception in dense urban areas.",5
recognize the syntax for defining an anonymous function in javascript?,0
what is biomass?,0
"evaluate the thermal conductivity of different insulation materials e.g., fiberglass, foam, aerogel in building envelopes, considering factors such as material density and porosity.",3
derive an expression for continuity equation in 3 dimensions.,3
assess the reliability of flood forecasting models in predicting riverine and urban flooding events.,4
how can you relate knowledge from economics and psychology to understand consumer choices?,5
write short note on combination folding machine.,0
"compare the features and performance of different data loss prevention dlp solutions e.g., content inspection, contextual analysis, encryption in preventing sensitive data leaks.",3
how would you break down a complex literary work into its major themes and motifs?,3
what is the space complexity of threaded binary tree.,0
explain the working of pv cell and simplest equivalent circuit for a photovoltaic cell.,0
formulate an algorithm for optimizing hyperparameters of machine learning models using evolutionary algorithms or bayesian optimization techniques.,5
"with the neat diagram, explain the working operation of 4-bit siso.",0
what is heat engine?,0
explain any three sheet metal working operations with their working.,0
explain generalised linked list with suitable example.,0
devise a new economic system based on the ones that already exist.,5
"consider youre building a recommendation system for movie recommendations. describe how you would model user preferences, incorporate item features, and evaluate recommendation quality using metrics such as precision and recall.",1
define task switching and explain the steps involved in task switching operation?,3
critically analyze the efficiency and scalability of a distributed hash table dht for peer-to-peer networks.,2
weights of 4000 students are found to be normally distributed with mean 50 kg and standard deviation 5 kgs.,2
classify insulating materials and hence write properties and application of any two materials from class f type.,0
the first four moments of distribution about working mean 3.,2
design a framework for implementing zero-trust security architecture in enterprise networks to mitigate security risks and improve resilience.,5
explain in brief main classes of soaps.,0
state three types of resistance welding.,0
explain the benefit if environment management system.,0
with suitable diagram explain construction and working of mcleod gauge.,1
lets discuss the cultural impact of virtual reality technology.,1
verify the value of statistical data used in a research paper.,4
explain with diagram the concept of voltage follower circuit using op-amp.,0
can you identify the relationships between different artistic styles in a complex art history context?,3
in a building there is always concern with fire safety. list what aspects you would assess in order to achieve strict compliance in the building design.,1
test the hypothesis through a longitudinal study.,4
differentiate and explain the interrupt gate and trap gate descriptor.,0
"suppose youre planning the deployment of a fiber optic network for high-speed internet access. describe the fiber optic cable types, connector interfaces, and installation techniques you would use to optimize signal integrity and bandwidth.",1
a steel rod 5m long and 40mm diameter is used as a column.,2
"assume that saudi arabia is currently operating at the natural level of output. however, due to the political uncertainty it leads to an increase in oil price. discuss the effects of the event on the price level, unemployment and output in the long run and short run in saudi arabia by using appropriate diagrams. besides, suggest the policy that can be implemented by saudi arabia in order to achieve long run equilibrium after the event.",5
defend the importance of cultural diversity.,4
how does virtual reality work?,0
write short note on current boosting regulator.,1
what are types of memory fragmentation?,0
"hypothesize an approach for integrating blockchain technology into electronic voting systems to ensure transparency, security, and verifiability of election results.",5
criticize the transparency of algorithmic decision-making processes in automated hiring systems.,4
judge whether it would be possible to survive on an island alone and blinded. write about it.,4
your company is developing a web application that requires real-time communication between clients and the server. compare the advantages and disadvantages of using websocket protocol versus http polling for achieving real-time updates.,3
explore five aspects of protection applied in segmentation.,3
can you create an illustrated diagram of the process of cellular respiration?,3
"compare the various types of machine learning algorithms, discussing their learning paradigms and applications.",1
solve a mathematical puzzle using algebraic methods.,2
"discuss the principles of fluid flow in pipes, explaining concepts such as laminar flow, turbulent flow, and reynolds number.",1
what year did the apollo 11 mission land on the moon?,0
illustrate the concept of genetic inheritance using punnett squares.,2
distinguish between âland surveyor and quantity surveyor.,3
list the characteristics peculiar to the cubist movement.,0
